H1,H2,DD1,UD1,user_id
125,82,262,137,16
104,98,201,97,16
10,105,115,105,16
61,40,415,354,17
59,81,317,258,17
48,48,329,281,17
55,56,369,314,17
54,64,279,225,17
82,43,757,675,17
71,72,321,250,17
56,65,297,241,17
85,64,383,298,17
85,56,539,454,17
83,72,373,290,17
64,77,984,920,17
72,53,711,639,17
81,65,469,388,17
87,57,402,315,17
56,57,411,355,17
71,66,351,280,17
72,65,386,314,17
60,120,230,170,17
73,80,256,183,17
57,94,293,236,18
113,101,417,304,18
75,82,366,291,18
94,85,419,325,18
95,106,320,225,18
92,101,427,335,18
113,112,306,193,18
129,139,328,199,18
108,119,248,140,18
100,107,323,223,18
97,113,346,249,18
95,112,366,271,18
107,114,312,205,18
106,130,323,217,18
120,98,359,239,18
90,122,263,173,18
106,119,264,158,18
121,138,330,209,18
106,116,307,201,18
145,132,339,194,18
57,59,784,727,19
84,61,207,123,19
103,60,306,203,19
80,79,214,134,19
75,65,198,123,19
83,58,216,133,19
70,94,649,579,19
87,63,286,199,19
81,62,354,273,19
113,66,282,169,19
91,53,308,217,19
98,50,382,284,19
73,53,339,266,19
88,60,262,174,19
73,67,248,175,19
106,61,354,248,19
53,69,235,182,19
69,55,315,246,19
87,48,274,187,19
61,50,236,175,19
61,62,4116,4055,20
83,98,210,127,20
98,80,275,177,20
90,69,152,62,20
88,109,130,42,20
81,82,123,42,20
73,74,201,128,20
88,82,198,110,20
88,91,148,60,20
66,57,159,93,20
56,108,114,58,20
88,98,156,68,20
79,105,173,94,20
82,72,152,70,20
79,74,416,337,20
64,57,216,152,20
99,66,114,15,20
83,69,132,49,20
73,55,144,71,20
72,64,151,79,20
70,112,721,651,21
141,88,1109,968,21
109,91,1317,1208,21
99,105,604,505,21
120,89,473,353,21
107,99,830,723,21
111,85,538,427,21
98,90,576,478,21
130,90,380,250,21
120,110,964,844,21
119,78,544,425,21
100,69,1183,1083,21
120,70,393,273,21
113,58,402,289,21
110,58,452,342,21
120,88,402,282,21
106,78,718,612,21
130,79,739,609,21
111,71,433,322,21
103,71,543,440,21
106,85,222,116,22
67,64,233,166,22
62,56,237,175,22
82,64,220,138,22
91,93,209,118,22
54,56,201,147,22
72,93,183,111,22
61,72,208,147,22
59,65,244,185,22
33,42,210,177,22
87,82,199,112,22
65,86,192,127,22
87,93,196,109,22
74,84,209,135,22
84,104,181,97,22
93,71,213,120,22
56,56,201,145,22
45,8,200,155,22
84,82,203,119,22
82,74,194,112,22
72,73,459,387,23
82,82,319,237,23
58,62,270,212,23
65,98,143,78,23
75,65,245,170,23
84,92,236,152,23
66,73,219,153,23
60,69,232,172,23
78,79,258,180,23
80,82,259,179,23
48,41,458,410,23
71,67,283,212,23
66,82,251,185,23
65,91,293,228,23
76,55,329,253,23
57,75,261,204,23
90,82,234,144,23
64,74,240,176,23
91,78,322,231,23
64,69,246,182,23
72,89,306,234,24
80,72,200,120,24
63,70,200,137,24
81,72,208,127,24
64,79,201,137,24
72,79,225,153,24
63,84,241,178,24
64,71,217,153,24
64,88,201,137,24
73,79,218,145,24
80,72,233,153,24
87,54,232,145,24
81,79,242,161,24
55,64,199,144,24
80,64,226,146,24
73,65,250,177,24
79,50,256,177,24
81,97,217,136,24
73,63,233,160,24
79,72,225,146,24
132,94,495,363,25
82,64,521,439,25
66,67,569,503,25
85,51,998,913,25
70,72,401,331,25
62,74,391,329,25
58,49,360,302,25
58,63,346,288,25
40,58,401,361,25
51,69,350,299,25
72,78,338,266,25
81,77,397,316,25
59,98,320,261,25
64,84,331,267,25
39,62,347,308,25
66,62,356,290,25
58,73,320,262,25
66,63,330,264,25
52,77,244,192,25
46,60,255,209,25
37,50,344,307,26
55,61,228,173,26
69,45,218,149,26
76,58,218,142,26
53,63,199,146,26
56,50,208,152,26
68,78,181,113,26
59,60,215,156,26
69,54,235,166,26
69,77,193,124,26
76,86,182,106,26
59,65,173,114,26
55,66,175,120,26
57,52,173,116,26
72,79,184,112,26
56,72,172,116,26
36,77,151,115,26
67,69,183,116,26
62,78,177,115,26
62,71,161,99,26
83,105,563,480,27
88,90,389,301,27
65,98,441,376,27
68,87,312,244,27
94,96,282,188,27
85,70,282,197,27
74,87,254,180,27
97,104,290,193,27
95,98,265,170,27
87,71,311,224,27
106,100,317,211,27
95,88,299,204,27
89,70,359,270,27
84,90,305,221,27
89,89,301,212,27
79,96,309,230,27
96,99,290,194,27
94,81,324,230,27
103,122,365,262,27
97,107,393,296,27
98,78,109,11,28
60,89,119,59,28
60,82,163,103,28
75,73,152,77,28
68,82,152,84,28
60,90,120,60,28
84,73,107,23,28
76,107,277,201,28
71,71,243,172,28
69,107,226,157,28
58,78,243,185,28
76,90,259,183,28
61,72,252,191,28
75,90,258,183,28
86,88,261,175,28
103,107,320,217,28
60,71,235,175,28
70,104,246,176,28
47,80,221,174,28
67,90,224,157,28
53,87,333,280,29
75,56,281,206,29
88,61,469,381,29
61,86,310,249,29
78,87,294,216,29
